2025-08-11 10:17:45,264 - __main__ - [INFO] [CONFIG] Loaded server configuration:
2025-08-11 10:17:45,264 - __main__ - [INFO] [CONFIG] Host: 0.0.0.0
2025-08-11 10:17:45,264 - __main__ - [INFO] [CONFIG] Port: 8100
2025-08-11 10:17:45,264 - __main__ - [INFO] [CONFIG] SSL: Enabled
2025-08-11 10:17:45,264 - __main__ - [INFO] [CONFIG] Console: Enabled
2025-08-11 10:17:45,264 - __main__ - [INFO] [CONFIG] Debug Terminal: Disabled
2025-08-11 10:17:45,264 - __main__ - [INFO] [CONFIG] Ping Interval: 30s
2025-08-11 10:17:45,264 - __main__ - [INFO] [CONFIG] Ping Timeout: 40s
2025-08-11 10:17:45,265 - __main__ - [INFO] [CONFIG] Certificate: server/keys/certificate.crt
2025-08-11 10:17:45,265 - __main__ - [INFO] [CONFIG] Private Key: server/keys/keyfile2.key
2025-08-11 10:17:45,463 - __main__ - [INFO] Server RSA keys generated successfully
2025-08-11 10:17:45,463 - __main__ - [INFO] [SSL] Generating self-signed certificate...
2025-08-11 10:17:45,700 - __main__ - [INFO] [SSL] Generated certificate: server/keys/certificate.crt
2025-08-11 10:17:45,700 - __main__ - [INFO] [SSL] Generated private key: server/keys/keyfile2.key
2025-08-11 10:17:45,700 - __main__ - [INFO] 🖥️  Starting server with interactive console...
2025-08-11 10:17:45,700 - __main__ - [INFO] 📝 Type 'help' in the console for available commands
2025-08-11 10:17:45,700 - __main__ - [INFO] Starting secure chat server on 0.0.0.0:8100
2025-08-11 10:17:45,700 - __main__ - [INFO] [DEBUG] Starting secure chat server on 0.0.0.0:8100
2025-08-11 10:17:45,700 - __main__ - [INFO] 🖥️  Server Console Started
2025-08-11 10:17:45,700 - __main__ - [INFO] Type 'help' for available commands
2025-08-11 10:17:45,700 - __main__ - [INFO] --------------------------------------------------
2025-08-11 10:17:45,715 - __main__ - [INFO] [DEBUG] Database initialized
2025-08-11 10:17:45,717 - __main__ - [INFO] [SSL] SSL context created using server/keys/certificate.crt
2025-08-11 10:17:45,717 - __main__ - [INFO] [DEBUG] About to start websockets.serve
2025-08-11 10:17:45,717 - __main__ - [INFO] [SSL] Starting secure WebSocket server (wss://) on 0.0.0.0:8100
2025-08-11 10:17:45,717 - __main__ - [INFO] [DEBUG] websockets.serve started
2025-08-11 10:17:45,717 - __main__ - [INFO] [DEBUG] WebSocket built-in PING/PONG disabled - using custom protocol
2025-08-11 10:17:45,718 - __main__ - [INFO] Server started successfully on 0.0.0.0:8100
2025-08-11 10:17:45,718 - __main__ - [INFO] [DEBUG] No connected users, skipping ping check
2025-08-11 10:17:46,719 - __main__ - [INFO] [DEBUG] No connected users, skipping ping check
2025-08-11 10:17:47,720 - __main__ - [INFO] [DEBUG] No connected users, skipping ping check
2025-08-11 10:17:48,722 - __main__ - [INFO] [DEBUG] No connected users, skipping ping check
2025-08-11 10:17:49,724 - __main__ - [INFO] [DEBUG] No connected users, skipping ping check
2025-08-11 10:17:50,725 - __main__ - [INFO] [DEBUG] No connected users, skipping ping check
2025-08-11 10:17:51,726 - __main__ - [INFO] [DEBUG] No connected users, skipping ping check
2025-08-11 10:17:52,728 - __main__ - [INFO] [DEBUG] No connected users, skipping ping check
2025-08-11 10:17:53,729 - __main__ - [INFO] [DEBUG] No connected users, skipping ping check
2025-08-11 10:17:54,730 - __main__ - [INFO] [DEBUG] No connected users, skipping ping check
2025-08-11 10:17:55,731 - __main__ - [INFO] [DEBUG] No connected users, skipping ping check
2025-08-11 10:17:56,732 - __main__ - [INFO] [DEBUG] No connected users, skipping ping check
2025-08-11 10:17:57,733 - __main__ - [INFO] [DEBUG] No connected users, skipping ping check
2025-08-11 10:17:58,734 - __main__ - [INFO] [DEBUG] No connected users, skipping ping check
2025-08-11 10:17:59,735 - __main__ - [INFO] [DEBUG] No connected users, skipping ping check
2025-08-11 10:18:00,736 - __main__ - [INFO] [DEBUG] No connected users, skipping ping check
2025-08-11 10:18:01,737 - __main__ - [INFO] [DEBUG] No connected users, skipping ping check
2025-08-11 10:18:02,738 - __main__ - [INFO] [DEBUG] No connected users, skipping ping check
2025-08-11 10:18:03,739 - __main__ - [INFO] [DEBUG] No connected users, skipping ping check
2025-08-11 10:18:04,741 - __main__ - [INFO] [DEBUG] No connected users, skipping ping check
2025-08-11 10:18:05,742 - __main__ - [INFO] [DEBUG] No connected users, skipping ping check
2025-08-11 10:18:06,743 - __main__ - [INFO] [DEBUG] No connected users, skipping ping check
2025-08-11 10:18:07,744 - __main__ - [INFO] [DEBUG] No connected users, skipping ping check
2025-08-11 10:18:08,745 - __main__ - [INFO] [DEBUG] No connected users, skipping ping check
2025-08-11 10:18:09,746 - __main__ - [INFO] [DEBUG] No connected users, skipping ping check
2025-08-11 10:18:10,747 - __main__ - [INFO] [DEBUG] No connected users, skipping ping check
2025-08-11 10:18:11,748 - __main__ - [INFO] [DEBUG] No connected users, skipping ping check
2025-08-11 10:18:12,749 - __main__ - [INFO] [DEBUG] No connected users, skipping ping check
